run,nPartitions,nTaxa,partitionSeqLength,nCPU,instances,beagle,nGPU
n,9,20,1000,1,true,beagle_SSE,2
n,9,20,1000,1,true,beagle_SSE,4
n,9,20,1000,1,false,java,0
n,9,20,1000,1,false,beagle_CPU,0
n,9,20,1000,1,false,beagle_SSE,0
n,9,20,1000,2,false,java,0
n,9,20,1000,2,false,beagle_CPU,0
n,9,20,1000,2,false,beagle_SSE,0
n,9,20,1000,4,false,java,0
n,9,20,1000,4,false,beagle_CPU,0
n,9,20,1000,4,false,beagle_SSE,0
n,9,20,1000,1,false,beagle_SSE,1
n,9,20,1000,1,false,beagle_SSE,2
n,9,20,1000,1,false,beagle_SSE,4
n,3,100,100,1,true,java,0
n,3,100,100,1,true,beagle_CPU,0
n,3,100,100,1,true,beagle_SSE,0
n,3,100,100,2,true,java,0
n,3,100,100,2,true,beagle_CPU,0
n,3,100,100,2,true,beagle_SSE,0
n,3,100,100,4,true,java,0
n,3,100,100,4,true,beagle_CPU,0
n,3,100,100,4,true,beagle_SSE,0
n,3,100,100,1,true,beagle_SSE,1
n,3,100,100,1,true,beagle_SSE,2
n,3,100,100,1,true,beagle_SSE,4
n,3,100,100,1,false,java,0
n,3,100,100,1,false,beagle_CPU,0
n,3,100,100,1,false,beagle_SSE,0
n,3,100,100,2,false,java,0
n,3,100,100,2,false,beagle_CPU,0
n,3,100,100,2,false,beagle_SSE,0
n,3,100,100,4,false,java,0
n,3,100,100,4,false,beagle_CPU,0
n,3,100,100,4,false,beagle_SSE,0
n,3,100,100,1,false,beagle_SSE,1
n,3,100,100,1,false,beagle_SSE,2
n,3,100,100,1,false,beagle_SSE,4
n,6,100,100,1,true,java,0
n,6,100,100,1,true,beagle_CPU,0
n,6,100,100,1,true,beagle_SSE,0
n,6,100,100,2,true,java,0
n,6,100,100,2,true,beagle_CPU,0
n,6,100,100,2,true,beagle_SSE,0
n,6,100,100,4,true,java,0
n,6,100,100,4,true,beagle_CPU,0
n,6,100,100,4,true,beagle_SSE,0
n,6,100,100,1,true,beagle_SSE,1
n,6,100,100,1,true,beagle_SSE,2
n,6,100,100,1,true,beagle_SSE,4
n,6,100,100,1,false,java,0
n,6,100,100,1,false,beagle_CPU,0
n,6,100,100,1,false,beagle_SSE,0
n,6,100,100,2,false,java,0
n,6,100,100,2,false,beagle_CPU,0
n,6,100,100,2,false,beagle_SSE,0
n,6,100,100,4,false,java,0
n,6,100,100,4,false,beagle_CPU,0
n,6,100,100,4,false,beagle_SSE,0
n,6,100,100,1,false,beagle_SSE,1
n,6,100,100,1,false,beagle_SSE,2
n,6,100,100,1,false,beagle_SSE,4
n,9,100,100,1,true,java,0
n,9,100,100,1,true,beagle_CPU,0
n,9,100,100,1,true,beagle_SSE,0
n,9,100,100,2,true,java,0
n,9,100,100,2,true,beagle_CPU,0
n,9,100,100,2,true,beagle_SSE,0
n,9,100,100,4,true,java,0
n,9,100,100,4,true,beagle_CPU,0
n,9,100,100,4,true,beagle_SSE,0
n,9,100,100,1,true,beagle_SSE,1
n,9,100,100,1,true,beagle_SSE,2
n,9,100,100,1,true,beagle_SSE,4
n,9,100,100,1,false,java,0
n,9,100,100,1,false,beagle_CPU,0
n,9,100,100,1,false,beagle_SSE,0
n,9,100,100,2,false,java,0
n,9,100,100,2,false,beagle_CPU,0
n,9,100,100,2,false,beagle_SSE,0
n,9,100,100,4,false,java,0
n,9,100,100,4,false,beagle_CPU,0
n,9,100,100,4,false,beagle_SSE,0
n,9,100,100,1,false,beagle_SSE,1
n,9,100,100,1,false,beagle_SSE,2
n,9,100,100,1,false,beagle_SSE,4
n,3,100,500,1,true,java,0
n,3,100,500,1,true,beagle_CPU,0
n,3,100,500,1,true,beagle_SSE,0
n,3,100,500,2,true,java,0
n,3,100,500,2,true,beagle_CPU,0
n,3,100,500,2,true,beagle_SSE,0
n,3,100,500,4,true,java,0
n,3,100,500,4,true,beagle_CPU,0
n,3,100,500,4,true,beagle_SSE,0
n,3,100,500,1,true,beagle_SSE,1
n,3,100,500,1,true,beagle_SSE,2
n,3,100,500,1,true,beagle_SSE,4
n,3,100,500,1,false,java,0
n,3,100,500,1,false,beagle_CPU,0
n,3,100,500,1,false,beagle_SSE,0
n,3,100,500,2,false,java,0
n,3,100,500,2,false,beagle_CPU,0
n,3,100,500,2,false,beagle_SSE,0
n,3,100,500,4,false,java,0
n,3,100,500,4,false,beagle_CPU,0
n,3,100,500,4,false,beagle_SSE,0
n,3,100,500,1,false,beagle_SSE,1
n,3,100,500,1,false,beagle_SSE,2
n,3,100,500,1,false,beagle_SSE,4
n,6,100,500,1,true,java,0
n,6,100,500,1,true,beagle_CPU,0
n,6,100,500,1,true,beagle_SSE,0
n,6,100,500,2,true,java,0
n,6,100,500,2,true,beagle_CPU,0
n,6,100,500,2,true,beagle_SSE,0
n,6,100,500,4,true,java,0
n,6,100,500,4,true,beagle_CPU,0
n,6,100,500,4,true,beagle_SSE,0
n,6,100,500,1,true,beagle_SSE,1
n,6,100,500,1,true,beagle_SSE,2
n,6,100,500,1,true,beagle_SSE,4
n,6,100,500,1,false,java,0
n,6,100,500,1,false,beagle_CPU,0
n,6,100,500,1,false,beagle_SSE,0
n,6,100,500,2,false,java,0
n,6,100,500,2,false,beagle_CPU,0
n,6,100,500,2,false,beagle_SSE,0
n,6,100,500,4,false,java,0
