"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"1",541,3,20,500,1222,1,"true","java",0,3.47543333333333
"2",542,3,20,500,1222,1,"true","beagle_CPU",0,1.93316666666667
"3",543,3,20,500,1222,1,"true","beagle_SSE",0,1.67938333333333
"4",544,3,20,500,1222,2,"true","java",0,2.75763333333333
"5",545,3,20,500,1222,2,"true","beagle_CPU",0,1.82168333333333
"6",546,3,20,500,1222,2,"true","beagle_SSE",0,1.71181666666667
"7",547,3,20,500,1222,4,"true","java",0,1.78801666666667
"8",548,3,20,500,1222,4,"true","beagle_CPU",0,1.80608333333333
"9",549,3,20,500,1222,4,"true","beagle_SSE",0,1.6698
"10",550,3,20,500,1222,6,"true","java",0,2.33988333333333
"11",551,3,20,500,1222,6,"true","beagle_CPU",0,1.45595
"12",552,3,20,500,1222,6,"true","beagle_SSE",0,1.36523333333333
"13",553,3,20,500,1222,8,"true","java",0,3.11423333333333
"14",554,3,20,500,1222,8,"true","beagle_CPU",0,1.0464
"15",555,3,20,500,1222,8,"true","beagle_SSE",0,1.37706666666667
"16",556,3,20,500,1222,1,"true","beagle_GPU",1,1.3224
"17",557,3,20,500,1222,1,"true","beagle_GPU",2,1.32985
"18",558,3,20,500,1222,1,"true","beagle_GPU",4,1.3257
"19",559,3,20,500,1222,1,"false","java",0,3.51436666666667
"20",560,3,20,500,1222,1,"false","beagle_CPU",0,3.20255
"21",561,3,20,500,1222,1,"false","beagle_SSE",0,1.83048333333333
"22",562,3,20,500,1222,2,"false","java",0,2.47355
"23",563,3,20,500,1222,2,"false","beagle_CPU",0,1.9817
"24",564,3,20,500,1222,2,"false","beagle_SSE",0,1.87163333333333
"25",565,3,20,500,1222,4,"false","java",0,2.3962
"26",566,3,20,500,1222,4,"false","beagle_CPU",0,1.47158333333333
"27",567,3,20,500,1222,4,"false","beagle_SSE",0,1.54848333333333
"28",568,3,20,500,1222,6,"false","java",0,2.40445
"29",569,3,20,500,1222,6,"false","beagle_CPU",0,1.28366666666667
"30",570,3,20,500,1222,6,"false","beagle_SSE",0,1.45181666666667
"31",571,3,20,500,1222,8,"false","java",0,2.54165
"32",572,3,20,500,1222,8,"false","beagle_CPU",0,1.29795
"33",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"34",574,3,20,500,1222,1,"false","beagle_GPU",1,1.35528333333333
"35",575,3,20,500,1222,1,"false","beagle_GPU",2,1.32958333333333
"36",576,3,20,500,1222,1,"false","beagle_GPU",4,1.24718333333333
