"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"1",1153,9,250,100,825,1,"true","java",0,14.6715333333333
"2",1154,9,250,100,825,1,"true","beagle_CPU",0,11.05695
"3",1155,9,250,100,825,1,"true","beagle_SSE",0,18.2062833333333
"4",1156,9,250,100,825,2,"true","java",0,8.81853333333333
"5",1157,9,250,100,825,2,"true","beagle_CPU",0,13.6085
"6",1158,9,250,100,825,2,"true","beagle_SSE",0,16.4595333333333
"7",1159,9,250,100,825,4,"true","java",0,9.65091666666667
"8",1160,9,250,100,825,4,"true","beagle_CPU",0,8.28105
"9",1161,9,250,100,825,4,"true","beagle_SSE",0,6.05693333333333
"10",1162,9,250,100,825,6,"true","java",0,12.8695833333333
"11",1163,9,250,100,825,6,"true","beagle_CPU",0,8.99383333333333
"12",1164,9,250,100,825,6,"true","beagle_SSE",0,9.42588333333333
"13",1165,9,250,100,825,8,"true","java",0,6.12223333333333
"14",1166,9,250,100,825,8,"true","beagle_CPU",0,8.57276666666667
"15",1167,9,250,100,825,8,"true","beagle_SSE",0,8.96233333333333
"16",1168,9,250,100,825,1,"true","beagle_GPU",1,4.98376666666667
"17",1169,9,250,100,825,1,"true","beagle_GPU",2,4.869
"18",1170,9,250,100,825,1,"true","beagle_GPU",4,4.87166666666667
"19",1171,9,250,100,825,1,"false","java",0,14.8668
"20",1172,9,250,100,825,1,"false","beagle_CPU",0,17.04925
"21",1173,9,250,100,825,1,"false","beagle_SSE",0,12.7259666666667
"22",1174,9,250,100,825,2,"false","java",0,9.14203333333333
"23",1175,9,250,100,825,2,"false","beagle_CPU",0,8.9253
"24",1176,9,250,100,825,2,"false","beagle_SSE",0,9.06791666666667
"25",1177,9,250,100,825,4,"false","java",0,8.57185
"26",1178,9,250,100,825,4,"false","beagle_CPU",0,12.0475333333333
"27",1179,9,250,100,825,4,"false","beagle_SSE",0,10.6218
"28",1180,9,250,100,825,6,"false","java",0,8.60683333333333
"29",1181,9,250,100,825,6,"false","beagle_CPU",0,9.15973333333333
"30",1182,9,250,100,825,6,"false","beagle_SSE",0,9.79388333333333
"31",1183,9,250,100,825,8,"false","java",0,6.41473333333333
"32",1184,9,250,100,825,8,"false","beagle_CPU",0,9.13596666666667
"33",1185,9,250,100,825,8,"false","beagle_SSE",0,9.37273333333333
"34",1186,9,250,100,825,1,"false","beagle_GPU",1,5.00751666666667
"35",1187,9,250,100,825,1,"false","beagle_GPU",2,4.89745
"36",1188,9,250,100,825,1,"false","beagle_GPU",4,4.8448
