"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"1",433,3,20,100,270,1,"true","java",0,0.868266666666667
"2",434,3,20,100,270,1,"true","beagle_CPU",0,0.998933333333333
"3",435,3,20,100,270,1,"true","beagle_SSE",0,0.939683333333333
"4",436,3,20,100,270,2,"true","java",0,0.785
"5",437,3,20,100,270,2,"true","beagle_CPU",0,1.06156666666667
"6",438,3,20,100,270,2,"true","beagle_SSE",0,0.86565
"7",439,3,20,100,270,4,"true","java",0,0.70515
"8",440,3,20,100,270,4,"true","beagle_CPU",0,1.09723333333333
"9",441,3,20,100,270,4,"true","beagle_SSE",0,1.05708333333333
"10",442,3,20,100,270,6,"true","java",0,0.629933333333333
"11",443,3,20,100,270,6,"true","beagle_CPU",0,0.9218
"12",444,3,20,100,270,6,"true","beagle_SSE",0,0.973816666666667
"13",445,3,20,100,270,8,"true","java",0,1.4031
"14",446,3,20,100,270,8,"true","beagle_CPU",0,0.636133333333333
"15",447,3,20,100,270,8,"true","beagle_SSE",0,1.1155
"16",448,3,20,100,270,1,"true","beagle_GPU",1,1.21966666666667
"17",449,3,20,100,270,1,"true","beagle_GPU",2,1.20276666666667
"18",450,3,20,100,270,1,"true","beagle_GPU",4,1.20666666666667
"19",451,3,20,100,270,1,"false","java",0,0.879516666666667
"20",452,3,20,100,270,1,"false","beagle_CPU",0,1.31816666666667
"21",453,3,20,100,270,1,"false","beagle_SSE",0,0.996866666666667
"22",454,3,20,100,270,2,"false","java",0,0.778333333333333
"23",455,3,20,100,270,2,"false","beagle_CPU",0,1.30538333333333
"24",456,3,20,100,270,2,"false","beagle_SSE",0,0.891783333333333
"25",457,3,20,100,270,4,"false","java",0,0.7331
"26",458,3,20,100,270,4,"false","beagle_CPU",0,0.8659
"27",459,3,20,100,270,4,"false","beagle_SSE",0,0.903433333333333
"28",460,3,20,100,270,6,"false","java",0,1.28371666666667
"29",461,3,20,100,270,6,"false","beagle_CPU",0,0.9666
"30",462,3,20,100,270,6,"false","beagle_SSE",0,1.28973333333333
"31",463,3,20,100,270,8,"false","java",0,1.18168333333333
"32",464,3,20,100,270,8,"false","beagle_CPU",0,1.07095
"33",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"34",466,3,20,100,270,1,"false","beagle_GPU",1,1.28095
"35",467,3,20,100,270,1,"false","beagle_GPU",2,1.1886
"36",468,3,20,100,270,1,"false","beagle_GPU",4,1.20123333333333
