"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"1",901,6,100,500,2581,1,"true","java",0,20.2104666666667
"2",902,6,100,500,2581,1,"true","beagle_CPU",0,15.6633666666667
"3",903,6,100,500,2581,1,"true","beagle_SSE",0,15.5288833333333
"4",904,6,100,500,2581,2,"true","java",0,11.2966833333333
"5",905,6,100,500,2581,2,"true","beagle_CPU",0,10.4995166666667
"6",906,6,100,500,2581,2,"true","beagle_SSE",0,13.7358666666667
"7",907,6,100,500,2581,4,"true","java",0,8.9328
"8",908,6,100,500,2581,4,"true","beagle_CPU",0,7.2256
"9",909,6,100,500,2581,4,"true","beagle_SSE",0,6.27415
"10",910,6,100,500,2581,6,"true","java",0,8.07126666666667
"11",911,6,100,500,2581,6,"true","beagle_CPU",0,7.45275
"12",912,6,100,500,2581,6,"true","beagle_SSE",0,6.58035
"13",913,6,100,500,2581,8,"true","java",0,6.0492
"14",914,6,100,500,2581,8,"true","beagle_CPU",0,4.74626666666667
"15",915,6,100,500,2581,8,"true","beagle_SSE",0,4.54666666666667
"16",916,6,100,500,2581,1,"true","beagle_GPU",1,3.53343333333333
"17",917,6,100,500,2581,1,"true","beagle_GPU",2,3.46845
"18",918,6,100,500,2581,1,"true","beagle_GPU",4,3.43911666666667
"19",919,6,100,500,2581,1,"false","java",0,20.4863166666667
"20",920,6,100,500,2581,1,"false","beagle_CPU",0,15.37815
"21",921,6,100,500,2581,1,"false","beagle_SSE",0,11.6649166666667
"22",922,6,100,500,2581,2,"false","java",0,10.4615166666667
"23",923,6,100,500,2581,2,"false","beagle_CPU",0,9.33323333333333
"24",924,6,100,500,2581,2,"false","beagle_SSE",0,11.9435833333333
"25",925,6,100,500,2581,4,"false","java",0,8.23476666666667
"26",926,6,100,500,2581,4,"false","beagle_CPU",0,7.2422
"27",927,6,100,500,2581,4,"false","beagle_SSE",0,6.13735
"28",928,6,100,500,2581,6,"false","java",0,6.73351666666667
"29",929,6,100,500,2581,6,"false","beagle_CPU",0,6.5803
"30",930,6,100,500,2581,6,"false","beagle_SSE",0,5.9632
"31",931,6,100,500,2581,8,"false","java",0,6.49171666666667
"32",932,6,100,500,2581,8,"false","beagle_CPU",0,4.54513333333333
"33",933,6,100,500,2581,8,"false","beagle_SSE",0,5.43408333333333
"34",934,6,100,500,2581,1,"false","beagle_GPU",1,3.3771
"35",935,6,100,500,2581,1,"false","beagle_GPU",2,3.46015
"36",936,6,100,500,2581,1,"false","beagle_GPU",4,3.53348333333333
